Feature,Importância,Desvio Padrão
HbA1c_level,0.2390412989593279,0.00877164725697956
blood_glucose_level,0.15795925883060236,0.005191937183300979
age,0.032460692688290105,0.0012753458814679052
bmi,0.01325073702214119,0.0015836602642950056
gender_Male,0.00132612225083506,0.00032703136936086577
gender_Female,0.0011108089079212569,0.0003219393098945238
smoking_history_former,0.00041836495214575553,6.317198158608282e-05
smoking_history_never,0.0003516648502325248,9.236993419565932e-05
smoking_history_No Info,0.00026299875582302956,7.80541436000969e-05
smoking_history_current,0.000172799140971458,4.284061947411161e-05
smoking_history_ever,8.939749042768952e-05,2.75980644657035e-05
hypertension,1.1102230246251565e-16,1.1102230246251565e-16
heart_disease,1.1102230246251565e-16,1.1102230246251565e-16
smoking_history_not current,-0.00011728859440152117,3.071233200383583e-05
