Feature,Importância,Desvio Padrão
HbA1c_level,0.23961003411038118,0.00887175649505153
blood_glucose_level,0.14082167118363986,0.004575883860415642
age,0.03740738597455695,0.0012390330182243479
bmi,0.009135473832097118,0.0008472922227540345
smoking_history_No Info,0.0014800160103392024,0.00028093776056897687
smoking_history_not current,0.00031984992718170346,0.00017189350579262564
smoking_history_current,0.00020489537018286708,5.2777080581818405e-05
smoking_history_never,0.00012606213168986358,9.891566295479578e-05
gender_Female,9.793955293213585e-05,0.00021262826143267962
smoking_history_ever,1.3972075139312423e-05,3.011653957961229e-05
gender_Male,1.378721680500572e-05,0.0001378898059277574
hypertension,0.0,0.0
heart_disease,0.0,0.0
smoking_history_former,-8.998260724180085e-05,7.554089716292658e-05
