Feature,Importância,Desvio Padrão
HbA1c_level,0.21285991982688113,0.0022400329197340865
blood_glucose_level,0.1930833786927716,0.002667793464086491
age,0.030811536560673702,0.0007387918763683786
bmi,0.011142138014769265,0.00020975153936402425
gender_Male,0.0008213775646774835,0.00017257801600762036
smoking_history_never,0.00024439637684015025,7.807432564926017e-05
heart_disease,0.0,0.0
hypertension,0.0,0.0
smoking_history_current,0.0,0.0
smoking_history_ever,0.0,0.0
smoking_history_former,0.0,0.0
smoking_history_not current,0.0,0.0
