Feature,Importância,Desvio Padrão
HbA1c_level,0.2122835963416041,0.0018238136969114564
blood_glucose_level,0.1730772412153374,0.003062847270473247
age,0.02979257473829755,0.0007252487521005932
bmi,0.0123775320393551,0.00020766301976382032
gender_Male,0.001410771461153315,0.0002234300560224273
smoking_history_never,0.0006117770254390198,8.471949843000091e-05
heart_disease,-1.1102230246251565e-16,1.1102230246251565e-16
hypertension,-1.1102230246251565e-16,1.1102230246251565e-16
smoking_history_current,-1.1102230246251565e-16,1.1102230246251565e-16
smoking_history_ever,-1.1102230246251565e-16,1.1102230246251565e-16
smoking_history_former,-1.1102230246251565e-16,1.1102230246251565e-16
smoking_history_not current,-1.1102230246251565e-16,1.1102230246251565e-16
