metric,mean,std,min,max
loss,0.23907672986388206,0.006108576377756136,0.23482884466648102,0.28480851650238037
accuracy,0.8895781022310257,0.0017318316316618004,0.8782973289489746,0.8915711045265198
precision,0.7540709120035172,0.0031317852325352816,0.7349114418029785,0.757982075214386
recall,0.9104709643125534,0.0020567680026562646,0.8979275822639465,0.913732647895813
auc,0.9703659439086914,0.0011077011578653434,0.9619117379188538,0.9711278676986694
val_loss,0.22363311648368836,0.021716108346077907,0.16974860429763794,0.26723912358283997
val_accuracy,0.8870920020341874,0.01703068858881428,0.8521999716758728,0.9344000220298767
val_precision,0.4291177028417587,0.041662901326146175,0.3617957830429077,0.5786061882972717
val_recall,0.92345882833004,0.022111279320911125,0.8399999737739563,0.9670588374137878
val_auc,0.9759042727947235,0.001168023534002125,0.9720565676689148,0.9778149127960205
