metric,mean,std,min,max
loss,0.21643177077174186,0.018507073930371133,0.196013942360878,0.2904123067855835
accuracy,0.8911397278308868,0.0057348313773689765,0.8756164908409119,0.8988196849822998
precision,0.7536597514152527,0.010611437536766823,0.7299573421478271,0.7684385776519775
recall,0.9197959458827972,0.004681610479885683,0.8961967825889587,0.9264860153198242
auc,0.9717983621358871,0.003222883329183735,0.9606249928474426,0.9755438566207886
val_loss,0.20594117045402527,0.026403256433297752,0.16754788160324097,0.3139289915561676
val_accuracy,0.8880759984254837,0.014836784428269427,0.8338000178337097,0.9283999800682068
val_precision,0.42960632145404815,0.03280135465563769,0.3330592215061188,0.5505279302597046
val_recall,0.9189647072553635,0.017799560395619942,0.8588235378265381,0.9599999785423279
val_auc,0.9752408456802368,0.0017955015449989376,0.9697393774986267,0.9774336814880371
