Feature,Importância,Desvio Padrão
HbA1c_level,0.2334873958765339,0.00899994613290997
blood_glucose_level,0.1549880629740008,0.004908472123630975
age,0.03758248539619169,0.0011391899108744868
bmi,0.008974487942414289,0.0008457669571341996
smoking_history_No Info,0.0011588817196005463,0.0002598357260867692
gender_Male,0.000154385643419519,6.153759458112218e-05
smoking_history_not current,0.00015340669798014073,8.437516576080128e-05
smoking_history_current,0.0001109455423421446,9.747023465506609e-05
smoking_history_never,0.00010019000221839214,0.0001160463372124836
gender_Female,2.0472658648573727e-05,0.00012421304882910634
smoking_history_ever,1.2039903680705066e-05,3.76125818285023e-05
hypertension,-1.1102230246251565e-16,1.1102230246251565e-16
heart_disease,-1.1102230246251565e-16,1.1102230246251565e-16
smoking_history_former,-6.473738864298806e-05,0.00011552688612362514
