trial_id,trial_number,status,duration_seconds,best_val_precision,best_val_pr_auc,best_val_f1,best_val_accuracy,best_val_auc,best_val_recall,best_val_loss,num_layers,optimizer,learning_rate,batch_size,layer_1_units,layer_1_activation,layer_1_dropout,layer_1_batch_norm,layer_1_l2_reg,layer_2_units,layer_2_activation,layer_2_dropout,layer_2_batch_norm,layer_2_l2_reg,layer_3_units,layer_3_activation,layer_3_dropout,layer_3_batch_norm,layer_3_l2_reg,layer_4_units,layer_4_activation,layer_4_dropout,layer_4_batch_norm,layer_4_l2_reg,layer_5_units,layer_5_activation,layer_5_dropout,layer_5_batch_norm,layer_5_l2_reg
00,1,RUNNING,427.52795791625977,0,0,0,0,0,0,0,3,adam,0.0010145085549121715,32,96,elu,0.1,False,0.006316520046470236,96,selu,0.1,True,0.0014934649318658272,32.0,relu,0.1,False,1e-05,,,,,,,,,,
01,2,RUNNING,473.80417108535767,0,0,0,0,0,0,0,3,adam,1.8328465016558593e-05,32,96,swish,0.4,True,0.000637042898847534,160,selu,0.1,False,0.0008126834233973143,256.0,relu,0.2,True,0.0007701487490272954,,,,,,,,,,
02,3,RUNNING,127.21134400367737,0,0,0,0,0,0,0,2,nadam,0.0007447307172265679,128,160,relu,0.2,True,0.0022126086566194515,192,selu,0.5,False,0.0024068233145225267,,,,,,,,,,,,,,,
03,4,RUNNING,535.1560740470886,0,0,0,0,0,0,0,5,nadam,0.0015162288771385717,32,128,relu,0.1,True,3.359421780042294e-05,256,elu,0.2,True,8.412469498586538e-05,96.0,swish,0.5,True,0.00013494772704967807,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
04,5,RUNNING,404.1683874130249,0,0,0,0,0,0,0,2,adam,1.1257279154689149e-05,32,96,elu,0.4,False,0.007064684453451125,96,swish,0.5,True,4.233853524384222e-05,,,,,,,,,,,,,,,
05,6,RUNNING,150.39071011543274,0,0,0,0,0,0,0,5,rmsprop,0.01,128,192,relu,0.1,True,4.959302422110811e-05,256,relu,0.30000000000000004,True,0.004282823665022103,32.0,selu,0.5,False,1e-05,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
06,7,RUNNING,133.93681597709656,0,0,0,0,0,0,0,3,rmsprop,0.01,128,224,relu,0.1,True,1e-05,256,swish,0.5,False,1e-05,32.0,selu,0.5,True,0.01,,,,,,,,,,
07,8,RUNNING,383.32919692993164,0,0,0,0,0,0,0,2,rmsprop,0.01,32,32,relu,0.1,True,1e-05,256,relu,0.5,False,1e-05,,,,,,,,,,,,,,,
08,9,RUNNING,155.53003072738647,0,0,0,0,0,0,0,5,adam,0.01,128,256,relu,0.1,True,0.01,256,relu,0.1,False,1e-05,32.0,swish,0.5,True,0.01,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
09,10,RUNNING,554.1578085422516,0,0,0,0,0,0,0,5,rmsprop,0.01,32,256,relu,0.1,True,1e-05,256,swish,0.5,True,0.01,256.0,swish,0.5,True,0.0041368201393095485,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
10,11,RUNNING,160.10609769821167,0,0,0,0,0,0,0,4,nadam,0.0010493939966118335,128,32,relu,0.1,True,1e-05,256,swish,0.2,True,1e-05,32.0,elu,0.5,True,2.307796342911643e-05,32.0,relu,0.1,False,1e-05,,,,,
11,12,RUNNING,134.18033242225647,0,0,0,0,0,0,0,2,adam,0.01,128,256,relu,0.1,True,1e-05,256,swish,0.5,False,1e-05,,,,,,,,,,,,,,,
12,13,RUNNING,124.02879190444946,0,0,0,0,0,0,0,2,rmsprop,2.100122511826503e-05,128,256,relu,0.1,True,1e-05,256,swish,0.1,False,1e-05,,,,,,,,,,,,,,,
13,14,RUNNING,279.9180037975311,0,0,0,0,0,0,0,5,adam,0.01,64,32,relu,0.1,True,1e-05,256,elu,0.5,True,1e-05,32.0,relu,0.5,False,0.0011311170417656492,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
14,15,RUNNING,132.70110440254211,0,0,0,0,0,0,0,2,adam,0.01,128,32,relu,0.1,True,1.5157393870414994e-05,256,selu,0.5,False,0.0020306742540579744,,,,,,,,,,,,,,,
15,16,RUNNING,162.54659366607666,0,0,0,0,0,0,0,5,adam,0.01,128,128,relu,0.1,True,0.00010089613003112487,256,swish,0.5,False,1e-05,32.0,relu,0.5,True,1e-05,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,0.01
16,17,RUNNING,143.72017526626587,0,0,0,0,0,0,0,3,adam,0.01,128,224,relu,0.1,True,1e-05,32,relu,0.5,True,1e-05,32.0,relu,0.5,True,1.2680534218588046e-05,,,,,,,,,,
17,18,RUNNING,551.6610724925995,0,0,0,0,0,0,0,5,adam,0.01,32,96,relu,0.1,True,1e-05,256,relu,0.1,True,1e-05,32.0,relu,0.5,True,1e-05,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
18,19,RUNNING,139.20668363571167,0,0,0,0,0,0,0,2,nadam,0.01,128,160,relu,0.1,True,0.01,256,swish,0.5,True,1e-05,,,,,,,,,,,,,,,
19,20,RUNNING,164.6094892024994,0,0,0,0,0,0,0,5,adam,0.01,128,32,relu,0.1,True,1e-05,32,swish,0.5,False,0.00014896647679027154,32.0,relu,0.5,False,1e-05,32.0,relu,0.1,False,1e-05,32.0,relu,0.1,False,1e-05
