tuning_source,model_type,trial_id,trial_number,epoch,val_precision,val_pr_auc,val_accuracy,val_auc,val_recall,val_loss
cnn_bayesian_results/cnn_bayesian_tuning,cnn,00,0,7,0.8309847712516785,,0.9634999930858612,0.9739850759506226,0.7164705991744995,0.13264167308807373
cnn_bayesian_results/cnn_bayesian_tuning,cnn,01,1,9,0.6517309844493866,,0.9458000063896179,0.9712216258049011,0.796470582485199,0.5136807858943939
cnn_bayesian_results/cnn_bayesian_tuning,cnn,02,2,10,0.754746824502945,,0.9576999843120575,0.9729996025562286,0.7447058856487274,0.13593018427491188
cnn_bayesian_results/cnn_bayesian_tuning,cnn,03,3,10,0.8949525952339172,,0.9691999852657318,0.9764084815979004,0.7235294282436371,0.12864581122994423
cnn_bayesian_results/cnn_bayesian_tuning,cnn,04,4,21,0.8034389615058899,,0.9585999846458435,0.9697299897670746,0.6917647123336792,0.15241210907697678
cnn_bayesian_results/cnn_bayesian_tuning,cnn,05,5,12,0.8517340421676636,,0.9653000235557556,0.9753543436527252,0.7164705991744995,0.1283864565193653
cnn_bayesian_results/cnn_bayesian_tuning,cnn,06,6,2,0.9010655581951141,,0.967600017786026,0.9714279174804688,0.7011764645576477,0.1375490054488182
cnn_bayesian_results/cnn_bayesian_tuning,cnn,07,7,11,0.8957231044769287,,0.964000016450882,0.9715889692306519,0.6517647206783295,0.15552782267332077
cnn_bayesian_results/cnn_bayesian_tuning,cnn,08,8,23,0.5629769265651703,,0.9307999908924103,0.9663369059562683,0.8317646980285645,0.16446266323328018
cnn_bayesian_results/cnn_bayesian_tuning,cnn,09,9,22,0.6315919756889343,,0.9440999925136566,0.9753898084163666,0.8235293924808502,0.23146109282970428
cnn_bayesian_results/cnn_bayesian_tuning,cnn,10,10,5,0.7052769064903259,,0.9525000154972076,0.9706214666366577,0.7611764669418335,0.28550682961940765
cnn_bayesian_results/cnn_bayesian_tuning,cnn,11,11,0,,,,,,
cnn_bayesian_results/cnn_bayesian_tuning,cnn,12,12,23,0.7975722849369049,,0.9581000208854675,0.9659808576107025,0.679999977350235,0.2862735688686371
cnn_bayesian_results/cnn_bayesian_tuning,cnn,13,13,4,0.8730788826942444,,0.9564000070095062,0.9622702598571777,0.5752941370010376,0.1556946113705635
cnn_bayesian_results/cnn_bayesian_tuning,cnn,14,14,22,0.6651707887649536,,0.9491000175476074,0.9750302731990814,0.8082352876663208,0.14095840603113174
cnn_bayesian_results/cnn_bayesian_tuning,cnn,15,15,10,0.6676856279373169,,0.948199987411499,0.9700332581996918,0.7776470482349396,0.2737538814544678
cnn_bayesian_results/cnn_bayesian_tuning,cnn,16,16,9,0.7145509421825409,,0.9528000056743622,0.9683779180049896,0.7411764860153198,0.2259768471121788
cnn_bayesian_results/cnn_bayesian_tuning,cnn,17,17,8,0.8870911300182343,,0.9666000008583069,0.973308652639389,0.6964705884456635,0.1262729987502098
cnn_bayesian_results/cnn_bayesian_tuning,cnn,18,18,16,0.6808021068572998,,0.9501000046730042,0.9737984240055084,0.7800000011920929,0.13564205169677734
cnn_bayesian_results/cnn_bayesian_tuning,cnn,19,19,6,0.8692663311958313,,0.9683000147342682,0.9747644066810608,0.7423529624938965,0.13279440253973007
